filename,label
他_A\0001_w0.npy,他
他_A\0001_w0_fscale0.npy,他
他_A\0001_w0_fscale1.npy,他
他_A\0001_w0_fscale2.npy,他
他_A\0001_w0_noise0.npy,他
他_A\0001_w0_noise1.npy,他
他_A\0001_w0_noise2.npy,他
他_A\0001_w1.npy,他
他_A\0001_w1_fscale0.npy,他
他_A\0001_w1_fscale1.npy,他
他_A\0001_w1_fscale2.npy,他
他_A\0001_w1_noise0.npy,他
他_A\0001_w1_noise1.npy,他
他_A\0001_w1_noise2.npy,他
他_A\0001_w2.npy,他
他_A\0001_w2_fscale0.npy,他
他_A\0001_w2_fscale1.npy,他
他_A\0001_w2_fscale2.npy,他
他_A\0001_w2_noise0.npy,他
他_A\0001_w2_noise1.npy,他
他_A\0001_w2_noise2.npy,他
他_A\0002_w0.npy,他
他_A\0002_w0_fscale0.npy,他
他_A\0002_w0_fscale1.npy,他
他_A\0002_w0_fscale2.npy,他
他_A\0002_w0_noise0.npy,他
他_A\0002_w0_noise1.npy,他
他_A\0002_w0_noise2.npy,他
他_A\0002_w1.npy,他
他_A\0002_w1_fscale0.npy,他
他_A\0002_w1_fscale1.npy,他
他_A\0002_w1_fscale2.npy,他
他_A\0002_w1_noise0.npy,他
他_A\0002_w1_noise1.npy,他
他_A\0002_w1_noise2.npy,他
他_A\0002_w2.npy,他
他_A\0002_w2_fscale0.npy,他
他_A\0002_w2_fscale1.npy,他
他_A\0002_w2_fscale2.npy,他
他_A\0002_w2_noise0.npy,他
他_A\0002_w2_noise1.npy,他
他_A\0002_w2_noise2.npy,他
他_A\0003_w0.npy,他
他_A\0003_w0_fscale0.npy,他
他_A\0003_w0_fscale1.npy,他
他_A\0003_w0_fscale2.npy,他
他_A\0003_w0_noise0.npy,他
他_A\0003_w0_noise1.npy,他
他_A\0003_w0_noise2.npy,他
他_A\0003_w1.npy,他
他_A\0003_w1_fscale0.npy,他
他_A\0003_w1_fscale1.npy,他
他_A\0003_w1_fscale2.npy,他
他_A\0003_w1_noise0.npy,他
他_A\0003_w1_noise1.npy,他
他_A\0003_w1_noise2.npy,他
他_A\0003_w2.npy,他
他_A\0003_w2_fscale0.npy,他
他_A\0003_w2_fscale1.npy,他
他_A\0003_w2_fscale2.npy,他
他_A\0003_w2_noise0.npy,他
他_A\0003_w2_noise1.npy,他
他_A\0003_w2_noise2.npy,他
他_A\0004_w0.npy,他
他_A\0004_w0_fscale0.npy,他
他_A\0004_w0_fscale1.npy,他
他_A\0004_w0_fscale2.npy,他
他_A\0004_w0_noise0.npy,他
他_A\0004_w0_noise1.npy,他
他_A\0004_w0_noise2.npy,他
他_A\0004_w1.npy,他
他_A\0004_w1_fscale0.npy,他
他_A\0004_w1_fscale1.npy,他
他_A\0004_w1_fscale2.npy,他
他_A\0004_w1_noise0.npy,他
他_A\0004_w1_noise1.npy,他
他_A\0004_w1_noise2.npy,他
他_A\0004_w2.npy,他
他_A\0004_w2_fscale0.npy,他
他_A\0004_w2_fscale1.npy,他
他_A\0004_w2_fscale2.npy,他
他_A\0004_w2_noise0.npy,他
他_A\0004_w2_noise1.npy,他
他_A\0004_w2_noise2.npy,他
他_A\0005_w0.npy,他
他_A\0005_w0_fscale0.npy,他
他_A\0005_w0_fscale1.npy,他
他_A\0005_w0_fscale2.npy,他
他_A\0005_w0_noise0.npy,他
他_A\0005_w0_noise1.npy,他
他_A\0005_w0_noise2.npy,他
他_A\0005_w1.npy,他
他_A\0005_w1_fscale0.npy,他
他_A\0005_w1_fscale1.npy,他
他_A\0005_w1_fscale2.npy,他
他_A\0005_w1_noise0.npy,他
他_A\0005_w1_noise1.npy,他
他_A\0005_w1_noise2.npy,他
他_A\0005_w2.npy,他
他_A\0005_w2_fscale0.npy,他
他_A\0005_w2_fscale1.npy,他
他_A\0005_w2_fscale2.npy,他
他_A\0005_w2_noise0.npy,他
他_A\0005_w2_noise1.npy,他
他_A\0005_w2_noise2.npy,他
他_A\0006_w0.npy,他
他_A\0006_w0_fscale0.npy,他
他_A\0006_w0_fscale1.npy,他
他_A\0006_w0_fscale2.npy,他
他_A\0006_w0_noise0.npy,他
他_A\0006_w0_noise1.npy,他
他_A\0006_w0_noise2.npy,他
他_A\0006_w1.npy,他
他_A\0006_w1_fscale0.npy,他
他_A\0006_w1_fscale1.npy,他
他_A\0006_w1_fscale2.npy,他
他_A\0006_w1_noise0.npy,他
他_A\0006_w1_noise1.npy,他
他_A\0006_w1_noise2.npy,他
他_A\0006_w2.npy,他
他_A\0006_w2_fscale0.npy,他
他_A\0006_w2_fscale1.npy,他
他_A\0006_w2_fscale2.npy,他
他_A\0006_w2_noise0.npy,他
他_A\0006_w2_noise1.npy,他
他_A\0006_w2_noise2.npy,他
他_A\0007_w0.npy,他
他_A\0007_w0_fscale0.npy,他
他_A\0007_w0_fscale1.npy,他
他_A\0007_w0_fscale2.npy,他
他_A\0007_w0_noise0.npy,他
他_A\0007_w0_noise1.npy,他
他_A\0007_w0_noise2.npy,他
他_A\0007_w1.npy,他
他_A\0007_w1_fscale0.npy,他
他_A\0007_w1_fscale1.npy,他
他_A\0007_w1_fscale2.npy,他
他_A\0007_w1_noise0.npy,他
他_A\0007_w1_noise1.npy,他
他_A\0007_w1_noise2.npy,他
他_A\0007_w2.npy,他
他_A\0007_w2_fscale0.npy,他
他_A\0007_w2_fscale1.npy,他
他_A\0007_w2_fscale2.npy,他
他_A\0007_w2_noise0.npy,他
